id,category,difficulty,question,ground_truth_answer
LOGIC_014,Logic & Reasoning,hard,"If all X are Y, all Y are Z, and some Z are not W, can we conclude some X are not W?",No
LOGIC_015,Logic & Reasoning,hard,A and B enter a room. A says 'At least one of us is a knave'. What can you deduce?,"A is a Knight, B is a Knave"
LANG_001,Language & Semantics,easy,What is the opposite of 'hot'?,cold
LANG_002,Language & Semantics,easy,Is 'book' a noun or verb?,"Both (noun primarily, verb in context)"
LANG_003,Language & Semantics,easy,What does 'ambiguous' mean?,Having more than one possible meaning
LANG_004,Language & Semantics,easy,What is a synonym for 'happy'?,"joyful, cheerful, delighted, or similar"
LANG_005,Language & Semantics,easy,Complete: 'The dog ___ the bone.' (buried/bury/buries)?,buried
LANG_006,Language & Semantics,medium,What does 'pragmatic' mean?,Dealing with things in a practical way
LANG_007,Language & Semantics,medium,Is 'they' a singular or plural pronoun?,Both (increasingly singular in modern usage)
LANG_008,Language & Semantics,medium,What is the difference between 'imply' and 'infer'?,Imply: suggest; Infer: deduce from context
LANG_009,Language & Semantics,medium,What is an idiom? Give an example.,"A phrase meaning something different from literal words. E.g., 'raining cats and dogs'"
LANG_010,Language & Semantics,medium,Is 'unique' gradable (can something be 'very unique')?,"Technically no (unique = one of a kind), but used that way colloquially"
LANG_011,Language & Semantics,hard,What is the semantic difference between 'incomplete' and 'unfinished'?,Incomplete: missing parts; Unfinished: process not yet done
LANG_012,Language & Semantics,hard,"Is language prescriptive or descriptive, and why does it matter?","Both; prescriptive = rules, descriptive = how people use it"
LANG_013,Language & Semantics,hard,What is the Sapir-Whorf hypothesis about language?,Language shapes thought; the words we have affect how we think
LANG_014,Language & Semantics,hard,Can a word be both a homonym and a homophone? Give example.,Yes. Example: 'lead' (metal) and 'lead' (guide)
CODE_001,Code Understanding,easy,What does print('hello') output?,hello
CODE_002,Code Understanding,easy,What is x after: x = 5; x = x + 3?,8
CODE_003,Code Understanding,easy,What does len('hello') return?,5
CODE_004,Code Understanding,easy,Is 5 > 3 true or false?,True
CODE_005,Code Understanding,easy,What is 10 % 3 (modulo)?,1
CODE_006,Code Understanding,medium,"x = [1, 2, 3]; x[1] = ?",2
CODE_007,Code Understanding,medium,What does 'hello'.upper() return?,HELLO
CODE_008,Code Understanding,medium,for i in range(3): print(i) outputs?,0 1 2 (on separate lines)
CODE_009,Code Understanding,medium,"What is {'a': 1, 'b': 2}['a']?",1
CODE_010,Code Understanding,medium,if 5 > 3: print('yes'); What prints?,yes
CODE_011,Code Understanding,hard,"x = [i*2 for i in [1,2,3]]; x = ?","[2, 4, 6]"
CODE_012,Code Understanding,hard,def f(x): return x**2; f(5) = ?,25
CODE_013,Code Understanding,hard,"x = [1,2,3]; x.pop() returns?",3
CODE_014,Code Understanding,hard,What is try/except used for?,Handle errors/exceptions gracefully
KNOW_001,World Knowledge,easy,What is the capital of France?,Paris
KNOW_002,World Knowledge,easy,What year did World War 2 end?,1945
KNOW_003,World Knowledge,easy,What is the largest planet in our solar system?,Jupiter
KNOW_004,World Knowledge,easy,What is H2O?,Water
KNOW_005,World Knowledge,easy,Who wrote 'Romeo and Juliet'?,William Shakespeare
KNOW_006,World Knowledge,medium,What is the smallest country by area?,Vatican City
KNOW_007,World Knowledge,medium,What is the speed of light?,"Approximately 299,792 km/s or 3×10^8 m/s"
KNOW_008,World Knowledge,medium,How many continents are there?,7 (or 5-6 depending on classification)
KNOW_009,World Knowledge,medium,Who was the first President of the United States?,George Washington
KNOW_010,World Knowledge,medium,What is the chemical symbol for Gold?,Au
KNOW_011,World Knowledge,hard,Who developed the theory of evolution?,Charles Darwin
KNOW_012,World Knowledge,hard,What philosopher is known for 'Categorical Imperative'?,Immanuel Kant
KNOW_013,World Knowledge,hard,Which Renaissance artist painted the Sistine Chapel ceiling?,Michelangelo
KNOW_014,World Knowledge,hard,What is the Gutenberg-Richter relation used for?,Predicting earthquake frequency and magnitude
CREA_001,Creative Problem Solving,easy,"If you had 2 pieces of string and needed to make 4 pieces, what could you do?",Cut each piece once (creating 4 total)
CREA_002,Creative Problem Solving,easy,How can you make a circle into a square?,Draw/add 4 sides to make a square shape (many valid solutions)
CREA_003,Creative Problem Solving,easy,What can you use as a hammer if you don't have one?,"Rock, shoe, piece of wood, etc. (any tool that can strike)"
CREA_004,Creative Problem Solving,easy,"If a cup is upside down, how do you turn it right-side up?",Flip/rotate it 180 degrees
CREA_005,Creative Problem Solving,easy,You have 3 coins. Make them into a triangle. How?,Arrange them in triangle shape (touching at points)
CREA_006,Creative Problem Solving,medium,You have a jug of 3L and 5L. Measure exactly 4L. How?,"Fill 5L, pour into 3L, empty 3L. Pour remaining 2L from 5L to 3L. Fill 5L again, pour into 3L (needs 1L more), leaving 4L in 5L jug."
CREA_007,Creative Problem Solving,medium,Move one stick to make this correct: VI + IV = IX (Roman numerals),V + IV = IX or VI + IV = X (depending on interpretation)
CREA_008,Creative Problem Solving,medium,How can you connect 9 dots in a 3×3 grid with 4 straight lines without lifting pen?,Extend lines beyond grid boundary (9-dot puzzle solution)
CREA_009,Creative Problem Solving,medium,"A man is trapped in a room with no windows. His only option is a door. The door has two guards. One always lies, one always tells truth. You don't know which is which. You can ask ONE question to find the exit. What do you ask?","Ask either guard: 'If I asked the other guard which door is exit, what would he say?' Then take the opposite door."
CREA_010,Creative Problem Solving,medium,How would you weigh an elephant using a scale that's too small?,Measure water displacement (Archimedes principle) or compare with multiple smaller weights
CREA_011,Creative Problem Solving,hard,Design a warning system to alert deaf people of fire. What features would it have?,"Flashing lights, vibrations, visual displays, accessibility for all"
CREA_012,Creative Problem Solving,hard,How would you teach a person who's never seen color before what 'red' is?,"Use metaphors (heat, emotion), describe associations, use objects they know"
CREA_013,Creative Problem Solving,hard,Design a more efficient system for underground parking. What changes?,"Automated systems, spiral layouts, identification technology, better navigation"
CREA_014,Creative Problem Solving,hard,"If you had to communicate with an alien species that doesn't speak/hear, how would you?","Visual signals, mathematics, patterns, technology, attempt understanding of their communication method"
MULTI_001,Multi-Domain Integration,easy,A book costs $12 with 10% discount. Final price?,$10.80
MULTI_002,Multi-Domain Integration,easy,"If code outputs 'HELLO', what was input if print(x.upper())?",hello
MULTI_003,Multi-Domain Integration,easy,A recipe needs 2 cups flour. Doubling recipe needs?,4 cups flour
MULTI_004,Multi-Domain Integration,easy,"If Shakespeare wrote 37 plays and you've read 10, what percent left?",73% (approximately)
MULTI_005,Multi-Domain Integration,medium,"A company has 100 employees (60% code, 40% non-code). If non-code employees are 40, is the data consistent?","No (40% of 100 = 40, but that means 60 code, which checks out - YES it's consistent)"
MULTI_006,Multi-Domain Integration,medium,Historical fact: Leonardo da Vinci was painter + mathematician. What did he design using both skills?,"Inventions like flying machines, mechanical designs (used art + math/physics)"
MULTI_007,Multi-Domain Integration,medium,"A programmer needs 10 hours to write code. With debugging, it's 15 total. Debugging is what % of time?",33.3% (5/15)
MULTI_008,Multi-Domain Integration,hard,"Process 10,000 documents in 0.1 seconds each. 15 minutes available. Possible?","No (10,000 × 0.1s = 1,000 seconds = 16.67 minutes > 15 minutes)"
MULTI_009,Multi-Domain Integration,hard,A translation from English → French loses 20% meaning. From French → German loses 15%. What % meaning lost end-to-end?,32% (1 - (0.8 × 0.85) = 1 - 0.68 = 0.32)
MULTI_010,Multi-Domain Integration,hard,"If AI can solve 70% of coding problems and handles 80% of simple logic, what % of mixed tasks solved (equal distribution)?",75% (average: (70% + 80%)/2)
MULTI_011,Multi-Domain Integration,hard,"Summarize: Machine learning improves by 5% yearly. Started at 70%. In 5 years, approximately what accuracy?","Approximately 95% (not linear due to ceiling effect, but ~95%)"
MULTI_012,Multi-Domain Integration,hard,Ethics: Is using AI to write code ethical if it might replace programmers? Explain.,"Complex - benefits (efficiency, accessibility) vs concerns (job displacement, quality). Context-dependent."
MULTI_013,Multi-Domain Integration,hard,"A doctor must choose: drug works 90% of time (risks in 10%), no drug: disease progresses (100% worse). Best choice?","Drug likely better (90% benefit vs 100% progression), but depends on severity of risk"
MULTI_014,Multi-Domain Integration,hard,"Integrate: Math (statistics), Psychology (bias), Code (ML model). What is most important to avoid?",Algorithmic bias (mathematical model + programmer bias + human psychological bias = biased outputs)
