question_id,ground_truth,GPT_Baseline,Grok_Baseline,Perplexity_Baseline,GPT_FewShot,Grok_FewShot,Perplexity_FewShot,GPT_CoT,Grok_CoT,Perplexity_CoT,GPT_ReACT,Grok_ReACT,Perplexity_ReACT
60,1945,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Jupiter,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Water,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,William Shakespeare,0.5,0.5,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Vatican City,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"Approximately 299,792 km/s or 3×10^8 m/s",0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
66,7 (or 5-6 depending on classification),0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
67,George Washington,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Au,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Charles Darwin,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Immanuel Kant,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Michelangelo,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Predicting earthquake frequency and magnitude,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
73,Cut each piece once (creating 4 total),0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
74,Draw/add 4 sides to make a square shape (many valid solutions),0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
75,"Rock, shoe, piece of wood, etc. (any tool that can strike)",0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
76,Flip/rotate it 180 degrees,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Arrange them in triangle shape (touching at points),0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5
78,"Fill 5L, pour into 3L, empty 3L. Pour remaining 2L from 5L to 3L. Fill 5L again, pour into 3L (needs 1L more), leaving 4L in 5L jug.",0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
79,V + IV = IX or VI + IV = X (depending on interpretation),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Extend lines beyond grid boundary (9-dot puzzle solution),0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
81,"Ask either guard: 'If I asked the other guard which door is exit, what would he say?' Then take the opposite door.",0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0
82,Measure water displacement (Archimedes principle) or compare with multiple smaller weights,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
83,"Flashing lights, vibrations, visual displays, accessibility for all",0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
84,"Use metaphors (heat, emotion), describe associations, use objects they know",0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
85,"Automated systems, spiral layouts, identification technology, better navigation",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"Visual signals, mathematics, patterns, technology, attempt understanding of their communication method",0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
87,$10.80,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,hello,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8
89,4 cups flour,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
90,73% (approximately),0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
91,"No (40% of 100 = 40, but that means 60 code, which checks out - YES it's consistent)",0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
92,"Inventions like flying machines, mechanical designs (used art + math/physics)",0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
93,33.3% (5/15),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,"No (10,000 × 0.1s = 1,000 seconds = 16.67 minutes > 15 minutes)",0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
95,32% (1 - (0.8 × 0.85) = 1 - 0.68 = 0.32),0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
96,75% (average: (70% + 80%)/2),0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
97,"Approximately 95% (not linear due to ceiling effect, but ~95%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"Complex - benefits (efficiency, accessibility) vs concerns (job displacement, quality). Context-dependent.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,"Drug likely better (90% benefit vs 100% progression), but depends on severity of risk",0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
100,Algorithmic bias (mathematical model + programmer bias + human psychological bias = biased outputs),0.0,0.0,0.0,0.8,0.5,0.5,0.0,0.0,0.8,0.0,0.0,0.0
